topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info,1780715183.497790098,0,0,0,0,0.287659,0
/rtabmap/odom_info_lite,1780715183.642781258,0,0,0,0,0.307773,0
/rtabmap/odom_info,1780715183.643849134,0,0,0,0,0.307773,0
/rtabmap/odom_info_lite,1780715183.775416374,0,0,0,0,0.336265,0
/rtabmap/odom_info,1780715183.776843786,0,0,0,0,0.336265,0
/rtabmap/odom_info_lite,1780715183.952592611,0,0,0,0,0.321341,0
/rtabmap/odom_info,1780715183.953497171,0,0,0,0,0.321341,0
/rtabmap/odom_info,1780715184.168558121,0,0,0,0,0.304075,0
/rtabmap/odom_info_lite,1780715184.170037031,0,0,0,0,0.304075,0
/rtabmap/odom_info_lite,1780715184.363667250,0,0,0,0,0.285356,0
/rtabmap/odom_info,1780715184.364624739,0,0,0,0,0.285356,0
/rtabmap/odom_info_lite,1780715184.592125893,0,0,0,0,0.288841,0
/rtabmap/odom_info,1780715184.592846394,0,0,0,0,0.288841,0
/rtabmap/odom_info_lite,1780715184.723510742,0,0,0,0,0.295742,0
/rtabmap/odom_info,1780715184.724545240,0,0,0,0,0.295742,0
/rtabmap/odom_info_lite,1780715184.874320030,0,0,0,0,0.293645,0
/rtabmap/odom_info,1780715184.876945734,0,0,0,0,0.293645,0
/rtabmap/odom_info_lite,1780715185.036901951,0,0,0,0,0.303367,0
/rtabmap/odom_info,1780715185.037639380,0,0,0,0,0.303367,0
/rtabmap/odom_info_lite,1780715185.264577389,0,0,0,0,0.280104,0
/rtabmap/odom_info,1780715185.265247345,0,0,0,0,0.280104,0
/rtabmap/odom_info_lite,1780715185.501358271,0,0,0,0,0.229683,0
/rtabmap/odom_info,1780715185.501953840,0,0,0,0,0.229683,0
/rtabmap/odom_info_lite,1780715185.692252636,0,0,0,0,0.293829,0
/rtabmap/odom_info,1780715185.692833900,0,0,0,0,0.293829,0
/rtabmap/odom_info_lite,1780715185.918859720,0,0,0,0,0.285530,0
/rtabmap/odom_info,1780715185.919705153,0,0,0,0,0.285530,0
/rtabmap/odom_info_lite,1780715186.106562614,0,0,0,0,0.330052,0
/rtabmap/odom_info,1780715186.107403994,0,0,0,0,0.330052,0
/rtabmap/odom_info_lite,1780715186.355712414,0,0,0,0,0.358262,0
/rtabmap/odom_info,1780715186.356355906,0,0,0,0,0.358262,0
/rtabmap/odom_info_lite,1780715186.571860552,0,0,0,0,0.348113,0
/rtabmap/odom_info,1780715186.572833300,0,0,0,0,0.348113,0
/rtabmap/odom_info_lite,1780715186.796360731,0,0,0,0,0.346564,0
/rtabmap/odom_info,1780715186.797017813,0,0,0,0,0.346564,0
/rtabmap/odom_info_lite,1780715187.052822590,0,0,0,0,0.423905,0
/rtabmap/odom_info,1780715187.053642035,0,0,0,0,0.423905,0
/rtabmap/odom_info_lite,1780715187.216740608,0,0,0,0,0.399797,0
/rtabmap/odom_info,1780715187.217531443,0,0,0,0,0.399797,0
/rtabmap/odom_info_lite,1780715187.407027721,0,0,0,0,0.407717,0
/rtabmap/odom_info,1780715187.408190250,0,0,0,0,0.407717,0
/rtabmap/odom_info,1780715187.621671438,0,0,0,0,0.394549,0
/rtabmap/odom_info_lite,1780715187.622340679,0,0,0,0,0.394549,0
/rtabmap/odom_info_lite,1780715187.807631016,0,0,0,0,0.411663,0
/rtabmap/odom_info,1780715187.809234619,0,0,0,0,0.411663,0
/rtabmap/odom_info_lite,1780715188.033898354,0,0,0,0,0.383908,0
/rtabmap/odom_info,1780715188.036066771,0,0,0,0,0.383908,0
/rtabmap/odom_info,1780715188.237712860,0,0,0,0,0.408886,0
/rtabmap/odom_info_lite,1780715188.238248587,0,0,0,0,0.408886,0
/rtabmap/odom_info_lite,1780715188.458931208,0,0,0,0,0.411189,0
/rtabmap/odom_info,1780715188.459334612,0,0,0,0,0.411189,0
/rtabmap/odom_info_lite,1780715188.690743208,0,0,0,0,0.420128,0
/rtabmap/odom_info,1780715188.691641808,0,0,0,0,0.420128,0
/rtabmap/odom_info_lite,1780715189.025994778,0,0,0,0,0.388128,0
/rtabmap/odom_info,1780715189.026392937,0,0,0,0,0.388128,0
/rtabmap/odom_info_lite,1780715189.213645458,0,0,0,0,0.409634,0
/rtabmap/odom_info,1780715189.214484930,0,0,0,0,0.409634,0
/rtabmap/odom_info_lite,1780715189.431462765,0,0,0,0,0.395451,0
/rtabmap/odom_info,1780715189.433206558,0,0,0,0,0.395451,0
/rtabmap/odom_info,1780715189.814936161,0,0,0,0,0.423218,0
/rtabmap/odom_info_lite,1780715189.818123817,0,0,0,0,0.423218,0
/rtabmap/odom_info_lite,1780715189.971449614,0,0,0,0,0.443515,0
/rtabmap/odom_info,1780715189.972890377,0,0,0,0,0.443515,0
/rtabmap/odom_info_lite,1780715190.166785955,0,0,0,0,0.438205,0
/rtabmap/odom_info,1780715190.167499065,0,0,0,0,0.438205,0
/rtabmap/odom_info_lite,1780715190.362298489,0,0,0,0,0.426244,0
/rtabmap/odom_info,1780715190.363714457,0,0,0,0,0.426244,0
/rtabmap/odom_info_lite,1780715190.585059404,0,0,0,0,0.446519,0
/rtabmap/odom_info,1780715190.585947752,0,0,0,0,0.446519,0
